model,scale,params,benchmark,metric,value_pct,acc,acc_norm,nshot,source
llama,100M,100000000,hellaswag,acc_norm,31.31,28.92,31.31,0,main/100M/llama_100M/eval_scaling/results.json
llama,100M,100000000,piqa,acc_norm,64.25,63.71,64.25,0,main/100M/llama_100M/eval_scaling/results.json
llama,100M,100000000,winogrande,acc,50.6,50.6,,0,main/100M/llama_100M/evals_fill/results.json
llama,300M,300000000,arc_challenge,acc_norm,26.02,23.81,26.02,0,main/300M/llama_300M/eval_scaling/results.json
llama,300M,300000000,arc_easy,acc_norm,48.82,57.28,48.82,0,main/300M/llama_300M/eval_scaling/results.json
llama,300M,300000000,boolq,acc,55.8,55.8,,0,main/300M/llama_300M/evals_fill/results.json
llama,300M,300000000,hellaswag,acc_norm,42.37,35.18,42.37,0,main/300M/llama_300M/eval_scaling/results.json
llama,300M,300000000,piqa,acc_norm,68.28,68.17,68.28,0,main/300M/llama_300M/eval_scaling/results.json
llama,300M,300000000,winogrande,acc,50.2,50.2,,0,main/300M/llama_300M/evals_fill/results.json
llama,760M,760000000,arc_challenge,acc_norm,29.78,26.79,29.78,0,main/760M/llama_760M/evals_mmlu_arcc/results.json
llama,760M,760000000,arc_easy,acc_norm,55.72,60.69,55.72,0,main/760M/llama_760M/evals_5bench/results.json
llama,760M,760000000,boolq,acc,58.41,58.41,,0,main/760M/llama_760M/evals_5bench/results.json
llama,760M,760000000,hellaswag,acc_norm,50.0,39.14,50.0,0,main/760M/llama_760M/evals_5bench/results.json
llama,760M,760000000,piqa,acc_norm,70.95,71.49,70.95,0,main/760M/llama_760M/evals_5bench/results.json
llama,760M,760000000,winogrande,acc,53.99,53.99,,0,main/760M/llama_760M/evals_5bench/results.json
